id,image,h_div,num_of_swap,swap_log,grid_w,grid_h,factor,source_image
1,000000000250_f28_h4_s1.png,4,1,"[[0, 9]]",5,4,28,COCO_train2014_000000000250.jpg
2,000000000307_f28_h2_s1.png,2,1,"[[1, 3]]",2,2,28,COCO_train2014_000000000307.jpg
3,000000000312_f28_h2_s3.png,2,3,"[[0, 3], [3, 0], [0, 1]]",2,2,28,COCO_train2014_000000000312.jpg
4,000000000315_f28_h2_s1.png,2,1,"[[0, 3]]",2,2,28,COCO_train2014_000000000315.jpg
5,000000000560_f28_h2_s3.png,2,3,"[[3, 0], [3, 2], [2, 0]]",2,2,28,COCO_train2014_000000000560.jpg
6,000000000625_f28_h2_s3.png,2,3,"[[3, 1], [2, 0], [1, 2]]",2,2,28,COCO_train2014_000000000625.jpg
7,000000000731_f28_h3_s1.png,3,1,"[[5, 6]]",4,3,28,COCO_train2014_000000000731.jpg
8,000000000813_f28_h4_s2.png,4,2,"[[1, 15], [17, 3]]",6,4,28,COCO_train2014_000000000813.jpg
9,000000001025_f28_h3_s1.png,3,1,"[[8, 4]]",4,3,28,COCO_train2014_000000001025.jpg
10,000000001085_f28_h4_s3.png,4,3,"[[11, 19], [6, 2], [1, 8]]",5,4,28,COCO_train2014_000000001085.jpg
11,000000001232_f28_h3_s1.png,3,1,"[[3, 1]]",4,3,28,COCO_train2014_000000001232.jpg
12,000000001390_f28_h3_s2.png,3,2,"[[7, 11], [5, 2]]",4,3,28,COCO_train2014_000000001390.jpg
13,000000001510_f28_h3_s2.png,3,2,"[[3, 11], [4, 11]]",4,3,28,COCO_train2014_000000001510.jpg
14,000000001589_f28_h4_s1.png,4,1,"[[5, 9]]",4,4,28,COCO_train2014_000000001589.jpg
15,000000001697_f28_h4_s1.png,4,1,"[[5, 15]]",5,4,28,COCO_train2014_000000001697.jpg
16,000000001737_f28_h3_s2.png,3,2,"[[10, 8], [3, 11]]",4,3,28,COCO_train2014_000000001737.jpg
17,000000001786_f28_h3_s1.png,3,1,"[[7, 1]]",6,3,28,COCO_train2014_000000001786.jpg
18,000000001792_f28_h3_s2.png,3,2,"[[4, 1], [3, 10]]",4,3,28,COCO_train2014_000000001792.jpg
19,000000001811_f28_h4_s2.png,4,2,"[[6, 11], [15, 6]]",4,4,28,COCO_train2014_000000001811.jpg
20,000000001837_f28_h4_s2.png,4,2,"[[4, 9], [4, 8]]",5,4,28,COCO_train2014_000000001837.jpg
21,000000001997_f28_h4_s3.png,4,3,"[[17, 8], [18, 13], [18, 12]]",5,4,28,COCO_train2014_000000001997.jpg
22,000000002148_f28_h3_s1.png,3,1,"[[1, 5]]",2,3,28,COCO_train2014_000000002148.jpg
23,000000002150_f28_h3_s1.png,3,1,"[[0, 1]]",2,3,28,COCO_train2014_000000002150.jpg
24,000000002369_f28_h2_s3.png,2,3,"[[3, 2], [0, 2], [3, 2]]",2,2,28,COCO_train2014_000000002369.jpg
25,000000002372_f28_h3_s3.png,3,3,"[[4, 9], [0, 11], [11, 1]]",4,3,28,COCO_train2014_000000002372.jpg
26,000000002445_f28_h4_s3.png,4,3,"[[8, 11], [3, 10], [13, 5]]",5,4,28,COCO_train2014_000000002445.jpg
27,000000002498_f28_h3_s1.png,3,1,"[[11, 4]]",4,3,28,COCO_train2014_000000002498.jpg
28,000000002531_f28_h4_s1.png,4,1,"[[1, 7]]",2,4,28,COCO_train2014_000000002531.jpg
29,000000002536_f28_h4_s2.png,4,2,"[[16, 6], [4, 12]]",5,4,28,COCO_train2014_000000002536.jpg
